地区,センター,燃えるごみ,燃えないごみ,資源物,ペットボトル,容器包装プラスチック,粗大ごみ
泉山,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
中樽,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
上幸平,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
大樽,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
幸平,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
赤絵町,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
白川,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
稗古場,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
中の原,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
岩谷川内,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
境野,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
古木場,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
戸矢,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
大野,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
桑古場,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
本町,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
戸杓,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
外尾町,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
外尾山,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
丸尾,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
赤坂,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
黒牟田,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
応法,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
上南原,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
下南原,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
南山,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
原明,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
舞原,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
代々木,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
楠木原,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
上本,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
下本,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
北ノ川内,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
黒川,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
仏ノ原,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
下内野,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
上内野,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
蔵宿,,月 木,水1 水3,水2 水4,月2,金1 金3,月4
桑木原,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
山本,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
大木宿,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
立部,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
広瀬,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
広瀬山,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
岳,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
山谷切口,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
上山谷,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
下山谷,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
山谷牧,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
二ノ瀬,,火 金,水1 水3,水2 水4,月2,木1 木3,月4
